<|असम|>অংক	ɔ ŋ k ɔ
<|बंगा|>অক্ষতশরীরে	ɔ k kʰ ɔ t̪ o ʃ o r i r e
<|बंगा|>অক্ষার	ɔ k kʰ a r
<|बंगा|>অক্ষুব্ধ	ɔ k kʰ u b d̪ʱ o
<|बंगा|>অক্সিডেশন	ɔ k ʃ i ɖ e ʃ ɔ n
<|बंगा|>অগম্যা	ɔ ɡ o m m a
<|बंगा|>অগস্ট	ɔ ɡ ɔ s t
<|बंगा|>অগ্নিকুণ্ড	ɔ ɡ n i k u n d o
<|बंगा|>অগ্নিগর্ভ	o ɡ n i ɡ ɔ r bʱ o
<|बंगा|>অগ্নিতপ্ত	o ɡ n i t̪ ɔ p t̪ o
<|बंगा|>অগ্নিদাহ	o ɡ n i d̪ a h o
<|बंगा|>অগ্নিবর্ষী	o ɡ n i b o r ʃ i
<|बंगा|>অগ্নিবৃষ্টি	o ɡ n i b r i ʃ ʈ i
<|बंगा|>অগ্নিযুগ	o ɡ n i ɟ u ɡ
<|बंगा|>অগ্নিহোত্রী	o ɡ n i h o t̪ t̪ r i
<|बंगा|>অগ্ন্যুদ্গার	o ɡ n u d̪ ɡ a r
<|बंगा|>অগ্ন্যুদ্‌গার	o ɡ n u d̪ ɡ a r
<|बंगा|>অঙ্কস্থিত	ɔ ŋ k o s t̪ʰ i t̪ o
<|बंगा|>অঙ্গ	ɔ ŋ ɡ o
<|बंगा|>অঙ্গার	ɔ ŋ ɡ a r
<|बंगा|>অজগর	ɔ d͡ʒ ɔ ɡ ɔ ɾ
<|बंगा|>অঞ্চল	ɔ n t ʃ ɔ l
<|बंगा|>অতিমঙ্গল্য	o t i m o ŋ ɡ o lː ɔ
<|बंगा|>অথচ	ɔ t̪ʰ ɔ t͡ʃ o
<|बंगा|>অথবা	ɔ t̪ʰ ɔ b ɑ
<|बंगा|>অনুরাগ	o n u ɹ a ɡ
<|बंगा|>অনেক	ɔ n e k
<|बंगा|>অন্ন	ɔ nː ɔ
<|बंगा|>অন্যায়	ɔ n n ɛ e̯
<|बंगा|>অপারেশন	ɔ p ɑ ɾ e ʃ ɔ n
<|बंगा|>অভিনেতা	ɔ bʱ i n e t̪ a
<|बंगा|>অমার্জনীয়	ɔ m ɑ ɾ d͡ʒ ɔ n i ɔ
<|बंगा|>অরণ্য	ɔ ɾ o nː o
<|बंगा|>অর্থাৎ	ɔ r t̪ʰ a t̪
<|बंगा|>অর্পিতা	ɔ ɹ p i t̪ a
<|बंगा|>অশনি	ɔ ʃ o n i
<|बंगा|>অশিক্ষিত	ɔ ʃ i kʰː i t̪ o
<|बंगा|>অশোত	ɔ ʃ o t
<|बंगा|>অসুস্থ	ɔ ʃ u s tʰ ɔ
<|बंगा|>অহরহ	ɔ ɦ ɔ ɾ ɔ ɦ ɔ
<|बंगा|>আঁই	ã i
<|बंगा|>আঁস	a ʃ
<|बंगा|>আংশিক	a ŋ ʃ i k
<|बंगा|>আইজ	a i z
<|बंगा|>আইজকাইল	a i z k a i l
<|बंगा|>আইজকো	a i z k ɔ
<|बंगा|>আইজ্যা	a i d͡ʑ d͡ʑ a
<|बंगा|>আখবার	a kʰ b a ɹ
<|बंगा|>আগুন	a ɡ u n
<|बंगा|>আগ্রাবাদ	a ɡ ɾ a b a d
<|बंगा|>আজ	a d ʒ
<|बंगा|>আজব	a d ʒ o b
<|बंगा|>আঞ্চলিক	a n t ʃ ɔ l i k
<|बंगा|>আঞ্চলিকতা	a n t ʃ ɔ l i k ɔ t̪ a
<|बंगा|>আডা	a d̺ a
<|बंगा|>আঢ়	a ɾ
<|बंगा|>আণ্ডা	a ɳ ɖ a
<|बंगा|>আতকা	a t̪ k a
<|बंगा|>আতশ	a t̪ o ʃ
<|बंगा|>আদমশুমার	ɑ d̪ ɔ m ʃ u m ɑ ɾ
<|बंगा|>আদেশ	ɑ d̪ e ʃ
<|बंगा|>আন্তর্জাতিক	a n t̪ ɔ ɹ d ʑ a t̪ i k
<|बंगा|>আন্তর্জাল	ɑ n t̪ ɔ ɾ d͡ʒ ɑ l
<|बंगा|>আন্ধাইর	a n d̪ʱ a i ɾ
<|बंगा|>আপনাকে	a p n a k e
<|बंगा|>আপনাদের	a p n a d̪ e ɹ
<|बंगा|>আপনে	a p n e
<|बंगा|>আপা	a p a
<|बंगा|>আবহাওয়া	a b o h a w a
<|बंगा|>আবির	ä b i ɾ
<|बंगा|>আবেগ	a b e ɡ
<|बंगा|>আব্বু	a b b u
<|बंगा|>আমড়া	a m ɽ a
<|बंगा|>আমরার	a m ɾ a ɾ
<|बंगा|>আমলকী	a m l o k i
<|बंगा|>আমাগর	a m a ɡ ɔ ɾ
<|बंगा|>আমাদের	ɑ m ɑ d e r
<|बंगा|>আমার	ɑː m ɑ ɹ
<|बंगा|>আম্মে	a m m e
<|बंगा|>আরজুমান্দ	a ɹ d ʑ u m a n
<|बंगा|>আর্জি	a ɹ d ʑ i
<|बंगा|>আর্তব	ɑ ɾ t̪ ɔ b
<|बंगा|>আলাপ	a l a p
<|बंगा|>আলেম	a l e m
<|बंगा|>আলো	a l o
<|बंगा|>আলোকরশ্মি	a l o k r o ʃ m i
<|बंगा|>আশোত	a ʃ o t
<|बंगा|>আষ্ট	a ʃ t̺ ɔ
<|बंगा|>আসাম	a s a m
<|बंगा|>আসিফ	a s i f
<|बंगा|>আস্তে	a s t̪ e
<|बंगा|>ইংরেজি	i ŋ ɹ e d ʑ i
<|बंगा|>ইকুয়েডর	i k u̯ e d ɔ ɹ
<|बंगा|>ইগা	i ɡ a
<|बंगा|>ইটানো	i ʈ a n o
<|बंगा|>ইডা	i d̺ a
<|बंगा|>ইন	i n
<|बंगा|>ইনকিলাব	i n k i l ɑ b
<|बंगा|>ইনকিলাবি	i n k i l ɑ b i
<|बंगा|>ইনশাআল্লাহ্	i n ʃ a a l l aʱ
<|बंगा|>ইন্দু	i n d̪ u
<|बंगा|>ইয়ান	i a n
<|बंगा|>ইলিশ	i l i ʃ
<|बंगा|>ইস্পাত	i ʃ p a t̪
<|बंगा|>ঈগল	i ɡ ɔ l
<|बंगा|>উক্কা	u k k a
<|बंगा|>উঙ্ঘানো	u ŋ ɡʱ a n ɔ
<|बंगा|>উদিন	u d̪ i n
<|बंगा|>উন্দূর	u n d̪ u ɾ
<|बंगा|>উপাসনা	u p a ʃ ɔ n a
<|बंगा|>উয়াস	u a ʃ
<|बंगा|>উল্কা	u l k ɐ
<|बंगा|>উল্কি	u l k i
<|बंगा|>উষ্ণ	u ʃ n o
<|बंगा|>উৎপত্তি	u t̪ p ɔ t̪ː i
<|बंगा|>ঋতু	ɾ i t̪ u
<|बंगा|>ঋষি	r i ʃ i
<|बंगा|>একজিবিশন	e k d͡ʒ i b i ʃ ɔ n
<|बंगा|>এখন	æ kʰ ɔ n
<|बंगा|>এখনও	æ kʰ ɔ n o
<|बंगा|>এটি	e t i
<|बंगा|>এবে	e b e
<|बंगा|>এলাকা	e l a k a
<|बंगा|>এস্রাজ	e s ɹ a d ʑ
<|बंगा|>ঐতিহাসিক	o i t̪ i ɦ ɑ s i k
<|बंगा|>ওঠা	o ʈʰ a
<|बंगा|>ওদের	ɔː ð ɛ ɹ
<|बंगा|>ওফাত	o f a t̪
<|बंगा|>ওয়াদা	w a d a
<|बंगा|>কক্সবাজার	k ɔ k ʃ ɔ b a d ʑ a ɹ
<|बंगा|>কখন	k ɒ kʰ ɒ n
<|बंगा|>কখনও	k ɔ kʰ ɔ n o
<|बंगा|>কঠিন	k ɔ ʈʰ i n
<|बंगा|>কত	k ɔ t̪ o
<|बंगा|>কদম	k ɔ d ɔ m
<|बंगा|>কদাচিৎ	k ɔ d̪ ɑ t͡ʃ i t̪
<|बंगा|>কদু	k o d̪ u
<|बंगा|>কনকচাঁপা	k ɔ n ɔ k c ã p a
<|बंगा|>কন্ডম	k ɔ n ɖ ɔ m
<|बंगा|>কফ	k ɔ pʰ
<|बंगा|>কবুতর	k o b u t̪ ɔ r
<|बंगा|>কবে	k oː b ɛ
<|बंगा|>কমলা	k ɔ m l a
<|बंगा|>কয়	k ɔ e̯
<|बंगा|>কয়ফল	k ɒ e̯ ɸ ɒ l
<|बंगा|>কয়লাখনি	k ɔ e̯ l ɑ kʰ ɔ n i
<|बंगा|>কয়েদ	k ɔ e̯ e d̪
<|बंगा|>কয়েদখানা	k ɔ e̯ e d̪ kʰ a n a
<|बंगा|>করঞ্জ	k ɔ ɾ ɔ n ɟ ɔ
<|बंगा|>করবী	k ɔ ɾ ɔ b i
<|बंगा|>কলা	k ɔ l a
<|बंगा|>কষ্ট	k ɔ ʃ t o
<|बंगा|>কাঁঠাল	k a ʈʰ a l
<|बंगा|>কাঁসা	k ã s a
<|बंगा|>কাইল	k a i l
<|बंगा|>কাউন	k a u̯ n
<|बंगा|>কাক	k a k
<|बंगा|>কাজাখস্তান	k a z a kʰ s t̪ a n
<|बंगा|>কাটুয়া	k a t̺ u a
<|बंगा|>কাঠ	k a ʈʰ
<|बंगा|>কাণ্টা	k a n t̺ a
<|बंगा|>কাণ্টামি	k a n t̺ a m i
<|बंगा|>কাথিয়াবাড়	k a t̪ʰ i a b a ɹ
<|बंगा|>কানাডা	k a n a ɖ a
<|बंगा|>কান্দইন্যা	k a n d̪ ɔ i n n a
<|बंगा|>কান্দাইন্যা	k a n d̪ a i n n a
<|बंगा|>কামরাঙ্গা	k a m ɾ a ŋ ɡ a
<|बंगा|>কামানো	k a m a n o
<|बंगा|>কামুক	k a m u k
<|बंगा|>কারখানা	k a r kʰ a n a
<|बंगा|>কারণ	k a r o n
<|बंगा|>কারিগর	k a r i ɡ ɔ r
<|बंगा|>কালা	k a l a
<|बंगा|>কাহই	k a h ɔ i
<|बंगा|>কিংবা	k i ŋ b ɑ
<|बंगा|>কিচ্ছা	k i t ʃ t ʃʰ a
<|बंगा|>কিতা	k i t̪ a
<|बंगा|>কিতাব	k i t a b
<|बंगा|>কিনইন্যা	k i n ɔ i n n a
<|बंगा|>কিনার	k i n a r
<|बंगा|>কুউ	k u̯ u
<|बंगा|>কুকুর	k u k u ɾ
<|बंगा|>কুঞ্জলতা	k u n ɟ ɔ l ɔ t a
<|बंगा|>কুম	k u m
<|बंगा|>কুয়াশা	k u a ʃ a
<|बंगा|>কুসুম	k u ʃ u m
<|बंगा|>কুস্তুন্তুনিয়া	k u s t̪ u n t̪ u n i̯ a
<|बंगा|>কেগা	k e ɡ a
<|बंगा|>কেডা	k ɛ d̺ a
<|बंगा|>কেন	k ɛ n oː
<|बंगा|>কেলা	k ɛ l a
<|बंगा|>কোমর	k ɔ m ɔ ɹ
<|बंगा|>কৌলিক	k o u̯ l i k
<|बंगा|>ক্যা	k ɛ
<|बंगा|>ক্যান্ডি	k æ n ɖ i
<|बंगा|>ক্ষত্রিয়	kʰ o t̪ ɹ i̯ o
<|बंगा|>ক্ষমাহীন	kʰ ɔ m a ɦ i n
<|बंगा|>কৎবেল	k ɔ t b e l
<|बंगा|>খয়ের	kʰ ɔ e ɾ
<|बंगा|>খরগোশ	kʰ ɔ r ɡ o ʃ
<|बंगा|>খরচ	kʰ ɔ ɾ o t ʃ
<|बंगा|>খাতির	kʰ a t̪ i ɾ
<|बंगा|>খানকি	kʰ a ŋ k i
<|बंगा|>খানা	kʰ a n a
<|बंगा|>খারাপ	kʰ a ɾ a p
<|बंगा|>খারাব	kʰ a ɹ a b
<|बंगा|>খালি	kʰ a l i
<|बंगा|>খালী	kʰ a l i
<|बंगा|>খুজুটিপাড়া	kʰ u d͡ʒ u ʈ̟ i p ɑ ɽ̟ ɑ
<|बंगा|>খুব	kʰ u b
<|बंगा|>খূব	kʰ u b
<|बंगा|>খেজুর	kʰ e d ʒ u r
<|बंगा|>খেয়াল	kʰ e a l
<|बंगा|>খেলা	kʱ æ l a
<|बंगा|>গঙ্গোপাধ্যায়	ɡ ɔ ŋ ɡ o p a d̪ʱː a e̯
<|बंगा|>গণ্ডার	ɡ ɔ n ɖ a r
<|बंगा|>গন্ধতৃণ	ɡ ɔ n dʱ ɔ t ɾ i n ɔ
<|बंगा|>গন্ধভাদাল	ɡ ɔ n dʱ ɔ bʱ a d a l
<|बंगा|>গর্দান	ɡ ɔ ɾ d̪ a n
<|बंगा|>গল্প	ɡ ɔ l p o
<|बंगा|>গাঁইড়া	ɡ a i ɾ a
<|बंगा|>গাইড়া	ɡ a i ɾ a
<|बंगा|>গাড়ি	ɡ a ɽ i
<|बंगा|>গুফা	ɡ u pʰ ɑ
<|बंगा|>গুম	ɡ u m
<|बंगा|>গুমোট	ɡ u m o t
<|बंगा|>গুম্ফা	ɡ u m pʰ ɑ
<|बंगा|>গেরাম	ɡ e ɾ ɑ m
<|बंगा|>গোফা	ɡ o pʰ ɑ
<|बंगा|>গোয়া	ɡ o̯ a
<|बंगा|>গোরু	ɡ o ɹ u
<|बंगा|>গোশ	ɡ o ʃ
<|बंगा|>গৌতম	ɡ o u t̪ ɔ m
<|बंगा|>গ্রাম	ɡ ɾ ɑ m
<|बंगा|>গ্রেফতার	ɡ ɾ e f t̪ a ɾ
<|बंगा|>ঘণ্টা	ɡʱ ɔ n t a
<|बंगा|>ঘর	ɡʱ ɔ ɾ
<|बंगा|>ঘষা	ɡʱ ɔ ʃ a
<|बंगा|>ঘাড়	ɡʱ a ɽ
<|बंगा|>ঘোঙ্গা	ɡʱ o ŋ ɡ ä
<|बंगा|>ঘোড়া	ɡʱ o ɽ a
<|बंगा|>ঘোষ	ɡʱ o ʃ
<|बंगा|>চড়া	t ɕ ɔ ɹ a
<|बंगा|>চম্পা	t ɕ ɔ m p a
<|बंगा|>চর্বি	t ʃ o r b i
<|बंगा|>চশমা	t ʃ ɔ ʃ m a
<|बंगा|>চাউল	c a u̯ l
<|बंगा|>চাকমা	t͡ʃ ɐ k m ɐ
<|बंगा|>চাকরী	t ɕ a k ɹ i
<|बंगा|>চাটগাঁ	t ɕ a t ɡ a
<|बंगा|>চাটা	t ʃ a ʈ a
<|बंगा|>চামচ	t ɕ a m o t ɕ
<|बंगा|>চামচড়া	s a m s ɔ ɾ a
<|बंगा|>চালতা	c a l t a
<|बंगा|>চালানো	t ʃ a l a n o
<|बंगा|>চিংড়ি	t͡ʃ i ŋ r i
<|बंगा|>চিঠি	t ɕ i tʰ i
<|बंगा|>চিন্তা	t ʃ i n t̪ a
<|बंगा|>চিলমচি	t ʃ i l ɔ m t ʃ i
<|बंगा|>চুদা	t͡ʃ u d̪ ɑ
<|बंगा|>চুম্বন	t ʃ u m b ɔ n
<|बंगा|>চুরি	t͡ʃ u r i
<|बंगा|>চুরুট	t͡ʃ u ɾ u ʈ̟
<|बंगा|>চেয়ার	t͡ʃ e ä ɾ
<|बंगा|>চেয়ে	t͡ʃ e j e
<|बंगा|>চোখ	t ʃ o kʰ
<|बंगा|>ছা	t ɕʰ a
<|बंगा|>ছাত্র	t ʃʰ a t̪ ɾ o
<|बंगा|>ছিটমহল	t ʃʰ i ʈ m ɔ ɦ ɔ l
<|बंगा|>ছেচল্লিশ	t ɕʰ e t ɕ ɔ lː i ʃ
<|बंगा|>জন্মদিন	d ʒ ɔ n m o d̪ i n
<|बंगा|>জন্যে	d ʒ ɔ nː e
<|बंगा|>জবাই	d ʒ ɔ b a i
<|बंगा|>জমি	d ʒ o m i
<|बंगा|>জমিন	d ʒ o m i n
<|बंगा|>জাভা	d ʒ a bʰ a
<|बंगा|>জামা	d ʒ a m a
<|बंगा|>জামিন	z a m i n
<|बंगा|>জায়গা	d ʒ a e̯ ɡ a
<|बंगा|>জাহাজ	d ʑ a ɦ a d ʑ
<|बंगा|>জিগানো	z i ɡ a n ɔ
<|बंगा|>জিনিস	d ʒ i n i ʃ
<|बंगा|>জির্ভা	z i ɾ bʱ a
<|बंगा|>জেঠ	z ɛ t̺ʰ
<|बंगा|>জোরে	d ʑ o ɹ e
<|बंगा|>ঝাড়খণ্ড	d ʑʱ a ɹ ɔ kʰ ɔ n d o
<|बंगा|>ঝাল	ɟʱ a l
<|बंगा|>ঝিঙা	ɟʱ i ŋ a
<|बंगा|>ঝিঙ্গা	ɟʱ i ŋ ɡ a
<|बंगा|>টমটম	t ɔ m t ɔ m
<|बंगा|>টলা	t̺ ɒ l a
<|बंगा|>টিকট	ʈ̟ i k ɔ ʈ̟
<|बंगा|>টিকিট	ʈ̟ i k i ʈ̟
<|बंगा|>টুপি	ʈ u p i
<|बंगा|>টেঙ্গা	t̺ ɛ ŋ ɡ a
<|बंगा|>টেহা	t̺ ɛ ɦ a
<|बंगा|>ট্যাক্সি	ʈ æ k s i
<|बंगा|>ঠাঁঁই	ʈʰ ã i
<|बंगा|>ঠাঁই	ʈʰ ã i
<|बंगा|>ঠিক	tʰ i k
<|बंगा|>ডগ	d̺ ɒ ɡ
<|बंगा|>ডাক্তার	ɖ a k t̪ a ɾ
<|बंगा|>ডাঙর	d a ŋ ɔ ɾ
<|बंगा|>ডিম	d i m
<|बंगा|>ডুরিয়ান	ɖ̟ u ɾ i ɑ n
<|बंगा|>ডেহা	d̺ ɛ ɦ a
<|बंगा|>ঢেঁড়স	ɖʱ æ̃ ɽ o ʃ
<|बंगा|>তটিনী	t o ʈ i n i
<|बंगा|>তড়িৎ	t̪ ɔ ɽ i t̪
<|बंगा|>তবুও	t̪ ɔ b u o
<|बंगा|>তবে	t̪ ɔ b e
<|बंगा|>তল্লাশি	t̪ ɔ l l a ʃ i
<|बंगा|>তাঁরা	t̪ ã r a
<|बंगा|>তাওয়া	t̪ a w a
<|बंगा|>তাকানো	t̪ a k a n̪ o
<|बंगा|>তামা	t a m a
<|बंगा|>তামাশা	t̪ ä m ä s̠ ä
<|बंगा|>তামুক	t̪ a m u k
<|बंगा|>তারা	t̪ a r a
<|बंगा|>তারিপ	t̪ ä ɾ i p
<|बंगा|>তারিফ	t̪ ä ɾ i pʰ
<|बंगा|>তিসি	t i ʃ i
<|बंगा|>তীর	t̪ ɪː ɾ
<|बंगा|>তুঁই	t̪ ũ i
<|बंगा|>তুফান	t̪ u f a n
<|बंगा|>তুরিত	t̪ u ɾ i t̪
<|बंगा|>তেঁতুল	t ẽ t u l
<|बंगा|>তোশক	t̪ o ʃ o k
<|बंगा|>ত্রিচক্রযান	t̪ ɹ i t ɕ ɔ k ɹ ɔ d ʑ a n
<|बंगा|>ত্রিপত্র	t ɾ i p ɔ tː ɾ ɔ
<|बंगा|>থন	t̪ʰ ɒ n
<|बंगा|>থনে	t̪ʰ ɒ n e
<|बंगा|>থলি	t̪ʰ ɔ l i
<|बंगा|>থানকুনি	tʰ a n k u n i
<|बंगा|>থার্মমিটার	t̪ʰ ɑ ɾ m ɔ m i ʈ̟ ɑ ɾ
<|बंगा|>থার্মোমিটার	t̪ʰ ɑ ɾ m o m i ʈ̟ ɑ ɾ
<|बंगा|>দপ্তর	d̪ ɔ p t̪ o ɾ
<|बंगा|>দফতর	d̪ ɔ f t̪ o ɾ
<|बंगा|>দরজা	d̪ ɔ ɾ d ʒ a
<|बंगा|>দরবার	d̪ ɔ r b a r
<|बंगा|>দরিয়া	d̪ o r i j a
<|बंगा|>দলান	d̪ ɒ l a n
<|बंगा|>দাওয়াই	d̪ a o̯ a i̯
<|बंगा|>দাখিল	d̪ a kʰ i l
<|बंगा|>দাড়ি	d a ɽ i
<|बंगा|>দান্দান	d̪ a n d̪ a n
<|बंगा|>দালান	d̪ a l a n
<|बंगा|>দিঘি	d̪ i ɡʱ i
<|बंगा|>দীপঙ্কর	d̪ i p ɔ ŋ k ɔ ɾ
<|बंगा|>দীপোৎসব	d̪ i p o t̪ ʃ ɔ b
<|बंगा|>দুঃখ	d u k kʰ o
<|बंगा|>দুইন্যাই	d u i n n a i
<|बंगा|>দুগি	d̪ u ɡ i
<|बंगा|>দুপুর	d̪ u p u ɾ
<|बंगा|>দুরিয়ান	d̪ u ɾ i ɑ n
<|बंगा|>দৃশ্য	d̪ r i ʃː o
<|बंगा|>দেশ	d̪ e ʃ
<|बंगा|>দোতারা	d̪ o t̪ a ɾ a
<|बंगा|>দোলনা	d o l n a
<|बंगा|>দ্বীপ	d̪ i p
<|बंगा|>দ্রুত	d̪ ɾ ʊ t̪ o
<|बंगा|>ধনে	dʱ o n e
<|बंगा|>ধর্ষণ	dʱ ɔ ɾ ʃ ɔ n
<|बंगा|>ধাইর	d̪ʱ a i ɾ
<|बंगा|>ধারি	d̪ʱ a ɾ i
<|बंगा|>ধুতুরা	d̪ʱ u t̪ u ɹ a
<|बंगा|>নগ্নতা	n ɔ ɡ n o t̪ a
<|बंगा|>নবডঙ্কা	n ɔ b ɔ d ɔ ŋ k ɑ
<|बंगा|>নভেম্বর	n ɔ bʱ e m b ɔ ɹ
<|बंगा|>নভেল	n ɔ bʱ e l
<|बंगा|>নমস্কার	n ɔ m ɔ ʃ k a r
<|बंगा|>নম্বর	n ɔ m b o ɹ
<|बंगा|>নর	n ɔ ɹ
<|बंगा|>নরম	n ɔ ɾ o m
<|बंगा|>নাইহল	n a i ɦ ɒ l
<|बंगा|>নাতিশীতোষ্ণ	n a t̪ i ʃ i t̪ o ʃ n o
<|बंगा|>নাপ্পি	n ɑ p p i
<|बंगा|>নাম	n a m
<|बंगा|>নামহীন	n a m ɦ i n
<|बंगा|>নারায়ণ	n a ɹ a e̯ n
<|बंगा|>নারিন্দা	n a ɹ i n d̪ a
<|बंगा|>নাসরিন	n a s ɹ i n
<|बंगा|>নিয়াস	n i a ʃ
<|बंगा|>নিরক্ষর	n i r ɔ k kʰ ɔ r
<|बंगा|>নিষিদ্ধ	n i ʃ i d̪ːʱ o
<|बंगा|>নেউল	n e u l
<|बंगा|>নেওয়া	n a o̯ a
<|बंगा|>নেমন্তন্ন	n e m o n t̪ o n n o
<|बंगा|>নৈরাজ্যবাদ	n o i̯ ɹ a d ʑː ɔ b a d̪
<|बंगा|>ন্যায়	n ɛ e̯
<|बंगा|>ন্যূনতম	n u n o t̪ ɔ m o
<|बंगा|>পটোল	p ɔ ʈ o l
<|बंगा|>পদ্ম	p ɔ d̪ː ɔ
<|बंगा|>পয়গম্বর	p ɔ e̯ ɡ ɔ m b ɔ ɾ
