<|असम|>অংক	ɔ ŋ k ɔ
<|बंगा|>পরমাণু	p ɔ ɹ o m a n u
<|बंगा|>পরিস্থিতি	p ɔ ɾ i ʃ t̪ʰ i t̪ i
<|बंगा|>পরেন্দা	p ɔ ɾ ɛ n d̪ a
<|बंगा|>পর্বত	p ɔ r b ɔ t
<|बंगा|>পল্লি	p ɔ lː i
<|बंगा|>পশ্চিমবঙ্গ	p ɔ ʃ t ɕ i m b ɔ ŋ ɡ o
<|बंगा|>পশ্চিমবাংলা	p ɔ ʃ t ɕ i m b a ŋ l a
<|बंगा|>পহেলা	p ɔ ɦ e l a
<|बंगा|>পা	p a
<|बंगा|>পাঁতি	p a t̪ i
<|बंगा|>পাইথন	p ɑ i t̪ʰ ɔ n
<|बंगा|>পাউরা	p a u ɾ a
<|बंगा|>পাকস্থলী	p a k ɔ s tʰ o l i
<|बंगा|>পাখা	p a kʰ a
<|बंगा|>পাখি	p a kʰ i
<|बंगा|>পাঠানো	p ɑ ʈʰ ɑ n o
<|बंगा|>পাতা	p a t a
<|बंगा|>পাদ্রি	p a d̪ ɹ i
<|बंगा|>পানি	p ɑː n iː
<|बंगा|>পানু	p ɑ n u
<|बंगा|>পান্থপাদপ	p a n tʰ ɔ p a d ɔ p
<|बंगा|>পান্না	p a nː a
<|बंगा|>পাপকর্ম	p a p o k ɔ ɹ m o
<|बंगा|>পায়ু	p ɑ e̯ u
<|बंगा|>পায়ুকাম	p ɑ e̯ u k ɑ m
<|बंगा|>পায়ুকামী	p ɑ e̯ u k ɑ m i
<|बंगा|>পাসরা	p a ʃ ɔ ɾ a
<|बंगा|>পাহুরা	p a ɦ u ɾ a
<|बंगा|>পিপলী	p i p ɔ l i
<|बंगा|>পিপ্পল	p i pː ɔ l
<|बंगा|>পিয়ানো	p i ɑ n o
<|बंगा|>পুজো	p u d͡ʒ o
<|बंगा|>পুদিনা	p u d̪ i n a
<|बंगा|>পুষ্টিকর	p u ʃ ʈ̟ i k ɔ ɾ
<|बंगा|>পুষ্প	p u ʃ p ɔ
<|बंगा|>পুস্তক	p u s t ɔ k
<|बंगा|>পূজা	p u d͡ʒ ɑ
<|बंगा|>পূতিবাত	p u t i b a t
<|बंगा|>পেঁচা	p ɛ̃ t ʃ a
<|बंगा|>পেরেশান	p e r e ʃ a n
<|बंगा|>পোয়াত	p ɔ a t̪
<|बंगा|>প্যাঁচা	p ɛ̃ t ʃ a
<|बंगा|>প্যান্ডেল	p æ n ɖ e l
<|बंगा|>প্রচার	p ɹ o t ɕ a ɹ
<|बंगा|>প্রসব	p ɾ o ʃ ɔ b
<|बंगा|>প্রস্তুত	p ɾ ɔ ʃ t̪ u t̪
<|बंगा|>প্রাচীন	p r ɑ c i n
<|बंगा|>প্রাত	p ɹ a t̪
<|बंगा|>প্রেম	p ɹ e m
<|बंगा|>প্রেমিক	p ɾ e m i k
<|बंगा|>প্রেমিকা	p ɾ e m i k ɑ
<|बंगा|>প্লিজ	p l i z
<|बंगा|>প্লীজ	p l i z
<|बंगा|>ফলসা	pʰ ɔ l ʃ a
<|बंगा|>ফায়দা	f a j d̪ a
<|बंगा|>ফারাক	f a r a k
<|बंगा|>ফাল্গুন	f a l ɡ u n
<|बंगा|>ফাহাদ	f a ɦ a d̪
<|बंगा|>ফিরেবার	ɸ i ɾ e b a ɾ
<|बंगा|>ফোটানো	f o t a n o
<|बंगा|>ফ্লপি	pʰ l ɔ p i
<|बंगा|>বকুল	b o k u l
<|बंगा|>বগল	b o ɡ o l
<|बंगा|>বঙ্গ	b ɔ ŋ ɡ ɔ
<|बंगा|>বঙ্গবিদ্যা	b ɔ n ɡ o b i d̪ː a
<|बंगा|>বজ্র	b ɔ ɟ ɾ ɔ
<|बंगा|>বড়দিন	b ɔ ɽ̟ ɔ d i n
<|बंगा|>বড়োদিন	b ɔ ɽ̟ o d i n
<|बंगा|>বন্ধে	b ɒ n d̪ʱ e
<|बंगा|>বন্যা	b ɔ nː a
<|बंगा|>বসা	b ɔ ʃ a
<|बंगा|>বসু	b ɔ ʃ u
<|बंगा|>বসুন্ধরা	b o ʃ u n d̪ʱ ɔ ɹ a
<|बंगा|>বাঁড়া	b a ɹ a
<|बंगा|>বাংলাদেশি	b a ŋ l a d̪ e ʃ i
<|बंगा|>বাংলাদেশী	b a ŋ l a d̪ e ʃ i
<|बंगा|>বাইট	b a i ʈ
<|बंगा|>বাইত্যা	b a i t̪ t̪ a
<|बंगा|>বাইরাগ	b a i ɾ a ɡ
<|बंगा|>বাক্য	b a kː o
<|बंगा|>বাগ	b a ɡ
<|बंगा|>বাঙালি	b a ŋ a l i
<|बंगा|>বাঙ্গালী	b a ŋ ɡ a l i
<|बंगा|>বাটপাড়	b a t p a ɹ
<|बंगा|>বাত্তি	b a t̪ t̪ i
<|बंगा|>বাদশাহ	b a d̪ ʃ a ɦ
<|बंगा|>বাবা	b a b a
<|बंगा|>বাবুর্চি	b a b u r t ʃ i
<|बंगा|>বারি	b a ɾ i
<|बंगा|>বালি	b a l i
<|बंगा|>বালিশ	b a l i ʃ
<|बंगा|>বাহির	b a ɦ i ɾ
<|बंगा|>বিছানো	b i t ɕʰ a n o
<|बंगा|>বিজ্ঞান	b i ɡː æ n
<|बंगा|>বিজ্ঞাপন	b i ɡ j a p ɔ n
<|बंगा|>বিদেশ	b i d̪ e ʃ
<|बंगा|>বিদেশি	b i d̪ e ʃ i
<|बंगा|>বিন্দু	b i n d̪ u
<|बंगा|>বিবাদ	b i b ɑ d̪
<|बंगा|>বিমানবন্দর	b i m ɑ n b ɔ n d̪ ɔ ɾ
<|बंगा|>বিয়ান	b i̯ a n
<|बंगा|>বিয়াল	b i a l
<|बंगा|>বিরুদ্ধে	b i r u d̪ːʱ e
<|बंगा|>বিল্ব	b i lː ɔ
<|बंगा|>বিশ্রী	b i s ɾ i
<|बंगा|>বিষয়ে	b i ʃ ɔ e
<|बंगा|>বিসর্গ	b i ʃ o r ɡ o
<|बंगा|>বীজঘ্ন	b i d ʑ ɔ ɡʱ n o
<|बंगा|>বুড়	b u ɾ
<|बंगा|>বুধবার	b u d̪ʱ b a ɹ
<|बंगा|>বুভুক্ষা	b u bʱ u k kʰ ɑ
<|बंगा|>বুশরা	b u ʃ ɹ a
<|बंगा|>বৃক্ষ	b r i k kʰ o
<|बंगा|>বৃশ্চিক	b r i ʃ t ʃ i k
<|बंगा|>বেঁহা	b ɛ ɦ a
<|बंगा|>বেগুন	b e ɡ u n
<|बंगा|>বেডা	b ɛ d̺ a
<|बंगा|>বেডি	b e d̺ i
<|बंगा|>বেপরোয়া	b e p ɔ r w a
<|बंगा|>বেশী	b e ʃ i
<|बंगा|>বৈঁচি	b õ ĩ̯ c i
<|बंगा|>বৈশ্য	b o i ʃ ʃ o
<|बंगा|>বোকাচোদা	b o k ɑ t͡ʃ o d̪ ɑ
<|बंगा|>বোন	b o n
<|बंगा|>বোস	b o ʃ
<|बंगा|>ব্যক্তি	b æ k t̪ i
<|बंगा|>ব্যস্ত	b ɛ s t̪ ɔ
<|बंगा|>ব্যাক	b ɛ k
<|बंगा|>ব্যাঘ্র	b æ ɡʱ ɾ ɔ
<|बंगा|>ব্যাটারি	b æ ʈ̟ ɑ ɾ i
<|बंगा|>ব্যাধি	b æ dʱ i
<|बंगा|>ব্লগ	b l ɔ ɡ
<|बंगा|>ভনভন	bʱ ɔ n bʱ ɔ n
<|बंगा|>ভাড়াইট্যা	bʱ a ɾ a i t̺ t̺ a
<|बंगा|>ভাড়াটে	bʱ a ɹ a t e
<|बंगा|>ভারত	bʱ a ɾ ɔ t̪
<|बंगा|>ভারতে	bʱ a ɹ ɔ t̪ e
<|बंगा|>ভালোবাসা	bʱ a l o b a ʃ a
<|बंगा|>ভিত	bʱ i t̪ o
<|बंगा|>ভিয়েতনাম	v i j e t̪ n a m
<|बंगा|>ভেস্তা	bʱ e ʃ t̪ ɑ
<|बंगा|>মণ্ডল	m o n d o l
<|बंगा|>মতি	m ɔ t̪ i
<|बंगा|>মতো	m ɔ t̪ o
<|बंगा|>মদ্যপান	m ɔ d d o p a n
<|बंगा|>মনমোহন	m ɔ n m ɔ ɦ ɔ n
<|बंगा|>ময়দা	m ɔ e̯ d̪ a
<|बंगा|>মরামাস	m ɔ ɹ a m a ʃ
<|बंगा|>মলম	m ɔ l o m
<|बंगा|>মস্করা	m ɔ ʃ k ɔ ɹ a
<|बंगा|>মস্তিষ্ক	m ɔ s t̪ i ʃ k o
<|बंगा|>মহাভারত	m ɔ ɦ ɑ bʱ ɑ ɾ ɔ t̪
<|बंगा|>মাইনষে	m a i n ʃ e
<|बंगा|>মাগী	m a ɡ i
<|बंगा|>মাঠ	m a ʈʰ
<|बंगा|>মাতৃ	m ɑ t̪ ɾ i
<|बंगा|>মাতৃভাষা	m ɑ t̪ ɾ i bʱ ɑ ʃ ɑ
<|बंगा|>মাত্র	m a t̪ ɹ o
<|बंगा|>মাধ্যমে	m a d̪ːʱ ɔ m e
<|बंगा|>মানষি	m a n ʃ i
<|बंगा|>মানু	m a n u
<|बंगा|>মানুষ	m a n u ʃ
<|बंगा|>মামা	m a m a
<|बंगा|>মালদা	m a l d̪ a
<|बंगा|>মালূর	m a l u ɾ
<|बंगा|>মাশাআল্লাহ্	m a ʃ a a l l aʱ
<|बंगा|>মিডা	m i d̺ a
<|बंगा|>মিনসা	m i n ʃ a
<|बंगा|>মু	m u
<|बंगा|>মুক্তিযুদ্ধ	m u k t̪ i d͡ʒ u d̪ d̪ʱ ɔ
<|बंगा|>মুরগি	m u r ɡ i
<|बंगा|>মুরগী	m u r ɡ i
<|बंगा|>মূত্র	m u t̪ t̪ ɾ ɔ̝ˑ
<|बंगा|>মূত্রনালি	m u t̪ t̪ ɾ ɔ̝ n ä l iˑ
<|बंगा|>মেকুর	m ɛ k u ɾ
<|बंगा|>মেঘালয়	m e ɡʱ a l ɔ e̯
<|बंगा|>মেজ	m e d ʑ o
<|बंगा|>মেজাজ	m e d ʒ a d ʒ
<|बंगा|>মেথী	m e tʰ i
<|बंगा|>মেয়ে	m e e
<|बंगा|>মেষ	m e ʃ
<|बंगा|>মেহুর	m e ɦ u ɾ
<|बंगा|>মোটা	m o ʈ a
<|बंगा|>মোতি	m o t̪ i
<|बंगा|>মোরগ	m o r ɔ ɡ
<|बंगा|>মোল্লা	m o lː a
<|बंगा|>মৌল	m o u̯ l
<|बंगा|>মৌসুমি	m o u ʃ u m i
<|बंगा|>যমজ	d ʑ ɔ m o d ʑ
<|बंगा|>যাচ্ছেতাই	d ʑ a t ɕʰː e t̪ a i̯
<|बंगा|>যিরূশালেম	d͡ʒ i ɾ u ʃ a l e m
<|बंगा|>যুবতী	d ʒ u b ɔ t̪ i
<|बंगा|>যুলফিকার	d ʑ u l f i k a ɾ
<|बंगा|>যেখান	d ʑ e kʰ a n
<|बंगा|>যোনি	d ʑ o n i
<|बंगा|>রইদ	r ɔ i d̪
<|बंगा|>রউন	r ɔ u n
<|बंगा|>রওনা	r ɔ o n a
<|बंगा|>রওয়ানা	r ɔ w a n a
<|बंगा|>রজনীগন্ধা	r ɔ d ʒ o n i ɡ ɔ n d̪ʱ a
<|बंगा|>রবার	ɹ ɔ b a ɹ
<|बंगा|>রবি	r o b i
<|बंगा|>রশিদ	r o ʃ i d̪
<|बंगा|>রসায়ন	ɹ o ɹ ʃ j n
<|बंगा|>রসুই	ɾ ɔ ʃ u i
<|बंगा|>রসুইঘর	ɾ ɔ ʃ u i ɡʱ ɔ ɾ
<|बंगा|>রসুল	ɾ ɔ ʃ u l
<|बंगा|>রাং	ɾ a ŋ
<|बंगा|>রাই	ɾ a i
<|बंगा|>রাগ	r a ɡ
<|बंगा|>রাগী	r a ɡ i
<|बंगा|>রাজকীয়	r a d ʒ ɔ k i̯ o
<|बंगा|>রাজস্থান	r a d ʒ ɔ s t̪ʰ a n
<|बंगा|>রান্না	r a nː a
<|बंगा|>রামায়ণ	ɾ ɑ m ɑ e̯ ɔ n
<|बंगा|>রাষ্ট্র	ɾ a ʃ ʈ ɾ ɔ
<|बंगा|>রাস্তা	ɾ a s t̪ a
<|बंगा|>রিকশা	r i k ʃ ɑ
<|बंगा|>রিষ্ট	ɾ i ʃ ʈ ɔ
<|बंगा|>রূমী	r u m i
<|बंगा|>রোগ	ɾ o ɡ
<|बंगा|>রোজা	ɾ o z a
<|बंगा|>লওয়া	l ɔ o̯ a
<|बंगा|>লক্ষ্মীপেঁচা	l o kːʰ i p æ̃ c a
<|बंगा|>লক্ষ্মীফল	l o kːʰ i pʰ ɔ l
<|बंगा|>লতা	l ɔ t̪ a
<|बंगा|>লবডঙ্কা	l ɔ b ɔ d ɔ ŋ k ɑ
<|बंगा|>লাইব্রেরী	l a i b ɾ e ɾ i
<|बंगा|>লাকান	l a k a n
<|बंगा|>লাশ	l a ʃ
<|बंगा|>লাহান	l a ɦ a n
<|बंगा|>লুডা	l u d̺ a
<|बंगा|>লেবু	l e b u
<|बंगा|>শউর	ʃ ɔ u ɾ
<|बंगा|>শউরী	ʃ ɔ u ɾ i
<|बंगा|>শক্ত	ʃ ɔ k t̪ ɔ
<|बंगा|>শঙ্খচূড়	ʃ ɔ ŋ kʰ o t ʃ u ɽ
<|बंगा|>শতরকম	ʃ ɔ t̪ ɔ ɾ ɔ k ɔ m
<|बंगा|>শতাংশ	ʃ ɔ t̪ ɑ ŋ ʃ ɔ
<|बंगा|>শয়তান	ʃ ɔ j t̪ a n
<|बंगा|>শরমানো	ʃ ɔ ɹ m a n o
<|बंगा|>শরাব	s h ô r a b
<|बंगा|>শরীর	ʃ o ɹ i ɹ
<|बंगा|>শাণ্ডিল্য	ʃ a n ɖ i lː ɔ
<|बंगा|>শান্তনু	ʃ ɑ n t̪ ɔ n u
<|बंगा|>শামিয়ানা	ʃ a m i j a n a
<|बंगा|>শালগম	ʃ a l ɡ ɔ m
<|बंगा|>শাহতাজ	ʃ a ɦ t̪ a d ʑ
<|बंगा|>শিকার	ʃ i k a r
<|बंगा|>শিকারি	ʃ i k a r i
<|बंगा|>শিক্ষামূলক	ʃ i kːʰ a m u l ɔ k
<|बंगा|>শিখ	ʃ i kʰ
<|बंगा|>শিগ্গির	ʃ i ɡː i ɹ
<|बंगा|>শিথান	ʃ i t̪ʰ a n
<|बंगा|>শিরীষ	ʃ i ɾ i ʃ
<|बंगा|>শুধু	ʃ u d̪ʱ u
<|बंगा|>শুমার	ʃ u m ɑ ɾ
<|बंगा|>শুরু	ʃ u r u
<|बंगा|>শুলফা	ʃ u l pʰ a
<|बंगा|>শেখা	ʃ e kʰ a
<|बंगा|>শৈবাল	ʃ o i̯ b a l
<|बंगा|>শ্বেত	ʃː e t̪
<|बंगा|>শ্মশান	ʃ o ʃ ɐ n
<|बंगा|>শ্যাম্পু	ʃ æ m p u
<|बंगा|>শ্রীনিকেতন	ʃ ɾ i n i k e t̪ ɔ n
<|बंगा|>শ্রীফল	s ɾ i pʰ ɔ l
<|बंगा|>শ্রীবৃক্ষ	s ɾ i b ɾ i kːʰ ɔ
<|बंगा|>শ্লেষ্মা	ʃ l e ʃ ʃ ɑ̃
<|बंगा|>শ্ৰদ্ধা	s ɹ o d̪ d̪ʱ a
<|बंगा|>সংক্রামক	ʃ ɔ ŋ k ɾ a m ɔ k
<|बंगा|>সংবাদ	ʃ ɔ ŋ b ɑ d̪
<|बंगा|>সংশয়	ʃ ɔ ŋ ʃ ɔ e̯
<|बंगा|>সওদা	ʃ ɔ o̯ d̪ a
<|बंगा|>সঙ্গে	ʃ ɔ ŋ ɡ e
<|बंगा|>সজারু	ʃ ɔ d͡ʒ a r u
<|बंगा|>সত্ত্বেও	ʃ ɔ t̪ː e o̯
<|बंगा|>সত্য	ʃ o tː ɔ
<|बंगा|>সত্যফল	ʃ o tː ɔ pʰ ɔ l
<|बंगा|>সদর	ʃ ɔ d̪ o ɾ
<|बंगा|>সদরদপ্তর	ʃ ɔ d̪ o ɾ d̪ ɔ f t o ɾ
<|बंगा|>সদরদফতর	ʃ ɔ d̪ o ɾ d̪ ɔ f t o ɾ
<|बंगा|>সদাই	ʃ ɔ d̪ a i
<|बंगा|>সনদ	ʃ ɔ n o d̪
<|बंगा|>সপ্তাহ	ʃ ɔ p t̪ ɑ ɦ ɔ
<|बंगा|>সমক	ʃ ɒ m ɔ k
<|बंगा|>সমকামী	ʃ ɔ m ɔ k ɑ m i
<|बंगा|>সমকে	ʃ ɒ m k e
<|बंगा|>সময়কাল	ʃ ɔ m ɔ j k a l
<|बंगा|>সমীরণ	ʃ o m i ɾ ɔ n
<|बंगा|>সমুদ্র	ʃ o m u d r o
<|बंगा|>সম্পাদিকা	ʃ ɔ m p ɑ d̪ i k ɑ
<|बंगा|>সরকার	ʃ ɔ ɾ k a ɾ
<|बंगा|>সরদ	ʃ ɔ ɾ ɔ d̪
<|बंगा|>সরল	ʃ ɔ ɾ o l
<|बंगा|>সলিল	ʃ o l i l
<|बंगा|>সহকর্মী	ʃ ɔ ɦ ɔ k ɔ ɾ m i
<|बंगा|>সাঁই	ʃ a i̯
<|बंगा|>সাগর	ʃ a ɡ ɔ ɾ
<|बंगा|>সাতক্ষীরা	ʃ a t̪ kʰ i ɹ a
<|बंगा|>সাদা	ʃ a d̪ a
<|बंगा|>সাবান	ʃ a b a n
<|बंगा|>সাবাশ	ʃ a b a ʃ
<|बंगा|>সাবাস	ʃ a b a ʃ
<|बंगा|>সামী	s a m i
<|बंगा|>সার	ʃ a ɾ
<|बंगा|>সার্জারি	ʃ ɑ ɾ d͡ʒ ɑ ɾ i
<|बंगा|>সালাম	s a l a m
<|बंगा|>সিংহাসন	ʃ i ŋ ɦ a ʃ o n
<|बंगा|>সিগারেট	s i ɡ ɑ r e ʈ
<|बंगा|>সিন্দুক	ʃ i n d̪ u k
<|बंगा|>সিলডি	s i l ɔ d̺ i
<|बंगा|>সিলেইট্যা	s i l e i t̺ t̺ a
<|बंगा|>সুড়ঙ্গ	ʃ u ɹ ɔ ŋ ɡ o
<|बंगा|>সুন্দরী	ʃ u n d̪ ɔ ɾ i
<|बंगा|>সুভদ্রক	ʃ u bʱ ɔ dː ɾ ɔ k
<|बंगा|>সুলতান	s u l t̪ a n
<|बंगा|>সুলতানা	s u l t̪ a n a
<|बंगा|>সূরা	s u ɹ a
<|बंगा|>সেঁউতি	ʃ ẽ u t̪ i
<|बंगा|>সৌন্দর্য	ʃ o u̯ n d̪ ɔ ɹ d ʑ o
<|बंगा|>স্কুটার	ʃ k u ʈ̟ ɑ ɾ
<|बंगा|>স্থল	s t̪ʰ ɔ l
<|बंगा|>স্থান	s t̪ʰ a n
<|बंगा|>স্নিগ্ধা	s n i ɡ d̪ʱ a
<|बंगा|>স্নেহ	s n e ɦ o
<|बंगा|>স্ফটিক	ʃ pʰ o ʈ i k
<|बंगा|>স্বাস্থ্য	ʃ a s tʰ j ɔ
<|बंगा|>সৎ	s ɔ t̪
<|बंगा|>হইতে	ɦ o i̯ t̪ e
<|बंगा|>হউরী	ɦ ɔ u ɾ i
<|बंगा|>হক্কল	ɦ ɒ k k ɔ l
<|बंगा|>হগল	ɦ ɒ ɡ ɔ l
<|बंगा|>হঙ্গে	ɦ ɒ ŋ ɡ e
<|बंगा|>হতাশা	ɦ ɔ t̪ ɑ ʃ ɑ
<|बंगा|>হন্দর	ɦ ɔ n d̪ ɔ ɾ
<|बंगा|>হপ্তা	ɦ ɔ p t̪ a
<|बंगा|>হমান	ɦ ɒ m a n
<|बंगा|>হমুক	ɦ ɔ m u k
<|बंगा|>হয়রান	ɦ ɔ e̯ ɾ a n
<|बंगा|>হরা	ɦ ɒ ɾ a
<|बंगा|>হরিজন	ɦ ɔ ɾ i d͡ʒ ɔ n
<|बंगा|>হরীতকী	h o ɾ i t o k i
<|बंगा|>হরু	ɦ ɔ ɾ u
<|बंगा|>হরুলা	ɦ ɔ ɾ u l a
<|बंगा|>হহুন	ɦ ɔ ɦ u n
<|बंगा|>হাঁ	h æ̃ː
<|बंगा|>হাঁই	ɦ a i
<|बंगा|>হাঁটা	ɦ a ʈ a
<|बंगा|>হাঁতরানো	ɦ a t̪ ɾ a n ɔ
<|बंगा|>হাইর	ɦ a i ɾ
<|बंगा|>হাগু	ɦ a ɡ u
<|बंगा|>হাঙ্গুর	h ɐ ŋ ɡ u r
<|बंगा|>হাড়ি	ɦ a ɾ i
<|बंगा|>হাত	ɦ a t̪
<|बंगा|>হাতি	ɦ ɑ t̪ i
<|बंगा|>হাপ	ɦ a p
<|बंगा|>হাবশি	ɦ ɑ b ʃ i
<|बंगा|>হামলা	ɦ a m l a
<|बंगा|>হামানদিস্তা	h a m a n d i s t a
<|बंगा|>হামুক	ɦ a m u k
<|बंगा|>হায়েনা	ɦ a e̯ n a
<|बंगा|>হাসা	ɦ ɑ ʃ ɑ
<|बंगा|>হাসানো	ɦ ɑ ʃ ɑ n o
<|बंगा|>হিগা	ɦ i ɡ a
<|बंगा|>হিটলার	ɦ i ʈ̟ l ɑ ɾ
<|बंगा|>হিনান	ɦ i n a n
<|बंगा|>হিমবাহ	h i m b a h o
<|बंगा|>হিয়া	ɦ i̯ a
<|बंगा|>হিয়ান	ɦ i a n
<|बंगा|>হিয়াল	ɦ i a l
<|बंगा|>হিল	ɦ i l
<|बंगा|>হিসাব	ɦ i ʃ a b
<|बंगा|>হুটকি	ɦ u t̺ k i
<|बंगा|>হুদা	h u d ɐ
<|बंगा|>হুনা	ɦ u n a
<|बंगा|>হুনি	ɦ u n i
<|बंगा|>হুরইন	ɦ u ɾ ɔ i n
<|बंगा|>হুরু	ɦ u ɾ u
<|बंगा|>হে	ɦ e
<|बंगा|>হেঁজ	ɦ ɛ z
<|बंगा|>হেঁজা	ɦ ɛ z a
<|बंगा|>হেঁজার	ɦ ɛ z a ɾ
<|बंगा|>হেই	ɦ e i
<|बंगा|>হেউত	ɦ e u t̪
<|बंगा|>হেতাই	ɦ ɛ t̪ a i
<|बंगा|>হেতাইন	ɦ ɛ t̪ a i n
<|बंगा|>হেতি	ɦ e t̪ i
<|बंगा|>হেতে	ɦ ɛ t̪ e
<|बंगा|>হোঁচট	ɦ õ t ʃ ɔ ʈ
<|बंगा|>হোয়া	ɦ ɔ a
<|बंगा|>হোয়াদ	ɦ o a d̪
<|बंगा|>হোল	ɦ o l
<|बंगा|>হ্যাঁ	h ɛ̃
